Topic,Count,Name,Representation,Representative_Docs
294,408,294_hunter_renshaw_rodman_rodman renshaw,"['hunter', 'renshaw', 'rodman', 'rodman renshaw', 'beijing', 'participation', 'investment conference', 'china investment', 'present', 'conference china']","['biostar pharmaceuticals, inc. to present at the 2010 rodman & renshaw annual china investment conference in beijing', 'pacific bepure industry inc to present at the rodman & renshaw annual china investment conference in beijing on', 'tongxin international ltd. to present at the 2010 rodman & renshaw annual china investment conference in beijing']"
295,404,295_pimco_gross_janus_total return,"['pimco', 'gross', 'janus', 'total return', 'return', 'return fund', 'total', 'flagship', 'fund', 'morningstar']","['pimco strategy for life after gross: beyond bonds and burgers', 'analysis: pimco an outlier, not bellwether, in u.s. debt purge', 'pimco gross says there will be no qe3']"
296,402,296_iran_sanctions_nuclear_iranian,"['iran', 'sanctions', 'nuclear', 'iranian', 'oil', 'deal', 'exports', 'crude', 'applauds', 'eu']","['a glimmer of sanctions on iran', 'u.s. cuts off firms over iran', 'oil trade with iran thrives, discreetly']"
297,397,297_global marketsstocks_marketsstocks_stocks euro_euro,"['global marketsstocks', 'marketsstocks', 'stocks euro', 'euro', 'global marketsshares', 'marketsshares', 'global marketseuro', 'marketseuro', 'hopes', 'global']","['global markets-stocks, euro slip on eu summit nervousness', 'global markets-global stocks, euro jump on ecb move', 'global markets-global stocks, euro steady on hopes for eu summit']"
298,396,298_unicredit_santander_ceo sees_banco santander,"['unicredit', 'santander', 'ceo sees', 'banco santander', 'bln euros', 'banco', 'euros', 'cut jobs', 'authorities', 'ceo']","['unicredit, santander end talks on asset management deal', 'unicredit names jean-pierre mustier as ceo', 'unicredit is in talks with santander']"
299,395,299_claims_jobless_fell_week,"['claims', 'jobless', 'fell', 'week', 'labor market', 'fall', 'labor', 'rose', 'rise', 'lowest level']","['jobless claims rise', 'u.s. jobless claims rise', 'u.s. jobless claims rise']"
300,393,300_mcdonald_king_burger_restaurant,"['mcdonald', 'king', 'burger', 'restaurant', 'restaurants', 'food', 'breakfast', 'hortons', 'chains', 'tim hortons']","['mcdonald concedes loss of relevance', 'mcdonald sales up 3.7%', 'mcdonald franchisee is out']"
301,392,301_etfs_metal_commodity_issue,"['etfs', 'metal', 'commodity', 'issue', 'sec', 'cancellation', 'gem', 'securities', 'feb', 'irish']","['reg - etfs industrial - issue of etfs industrial metal securities', 'reg - etfs industrial - issue of etfs industrial metal securities', 'reg - etfs commodity sec - issue of etfs metal securities limited']"
302,386,302_tesco_profit warning_warning_accounting,"['tesco', 'profit warning', 'warning', 'accounting', 'christmas', 'tough', 'consensus', 'pays', 'tough market', 'sales fall']","['tesco shares sink on profit warning', 'update 3-tesco shares tumble with fourth profit warning in five months', 'tesco shares fall on profit warning']"
303,385,303_berkshire_buffett_warren_prudential,"['berkshire', 'buffett', 'warren', 'prudential', 'brokerage', 'real estate', 'estate', 'real', 'joins', 'network']","['will warren buffett step down as berkshire ceo', 'buffett: next berkshire ceo should be only one to get options', 'goldman rates buffett berkshire a buy']"
304,384,304_coal_arch_csx_mining,"['coal', 'arch', 'csx', 'mining', 'mines', 'miner', 'shipments', 'mining market', 'consol', 'clean']","['china coal firms set up their own bank', 'research report: coal information 2013 - with 2012 data', 'china coal crisis']"
305,383,305_dell_according_buyout_hp,"['dell', 'according', 'buyout', 'hp', 'wireless', 'cloud', 'customers', 'michael', 'pc', 'group']","['dell boomi expands partnership with qad', 'morgan & morgan p.c. announces investigation of dell, inc. buyout nasdaq: dell', 'dell next move may not be so private']"
306,380,306_ford_toyota_car_cars,"['ford', 'toyota', 'car', 'cars', 'auto', 'sales', 'recalls', 'eagle', 'gm', 'truck']","['ford cuts mileage ratings after retest', 'ford profit rises 6%', 'ford plans to offer compact minivan']"
307,376,307_global marketsstocks_marketsstocks_oil_global stocks,"['global marketsstocks', 'marketsstocks', 'oil', 'global stocks', 'global', 'stocks oil', 'oil stocks', 'stocks', 'oil prices', 'global marketsdollar']","['global markets-stocks, oil rebound on economic data', 'global markets-stocks rise on u.s. growth prospects; oil prices fall', 'global markets-stocks slip on slide in u.s. growth shares, oil prices fall']"
308,373,308_portugal_banco_novo_santo,"['portugal', 'banco', 'novo', 'santo', 'spain', 'bailout', 'rito santo', 'esp rito', 'rito', 'esp']","['portugal under fire as fears rise', 'portugal to put less into bes', 'portugal conglomerate']"
309,372,309_michael_kohl_dick_goods,"['michael', 'kohl', 'dick', 'goods', 'golf', 'orders', 'sales', 'soccer', 'shoe', 'profit']","['markdowns erode kohl profit', 'michael kors to expand in menswear', 'michael kors profit falls again']"
310,370,310_chemical_dupont_dow chemical_dow,"['chemical', 'dupont', 'dow chemical', 'dow', 'chemicals', 'basf', 'eastman', 'loeb', 'merger', 'breakup']","['dupont, dow chemical merger on track: ceo', 'dupont, dow chemical merger to close in first quarter 2017', 'dow chemical long pursued dupont']"
311,364,311_uae_q3_q3 net_dubai,"['uae', 'q3', 'q3 net', 'dubai', 'q3 profit', 'net profit', 'misses forecasts', 'pct', 'beats', 'beats forecasts']","['uae bank adib q3 net profit rises by 5.5 pct', 'uae adcb q3 net profit surges, beats forecasts', 'uae nbad q3 net up 9 pct on investment gains']"
312,359,312_cds_cd_yields_fitch solutions,"['cds', 'cd', 'yields', 'fitch solutions', 'steady', 'hold steady', 'unchanged', 'hold', 'solutions', 'jumbo']","['yields on cds steady', 'yields steady on most cds', 'yields on cds steady']"
313,358,313_import_rose_producer_consumer prices,"['import', 'rose', 'producer', 'consumer prices', '01', 'prices', 'prices rise', 'fell', 'consumer', 'export']","['u.s. import prices down 0.4% in april', 'u.s. import prices rose 0.2% amid signs of inflation', 'u.s. import prices rose 0.1% in september']"
314,355,314_macquarie_commonwealth_anz_q1 profit,"['macquarie', 'commonwealth', 'anz', 'q1 profit', 'profit rise', 'australia', 'profit', 'posts record', 'infrastructure', 'westpac']","['australia macquarie net profit falls in dec quarter', 'macquarie power & infrastructure income fund announces third quarter results', 'macquarie h1 profit down a quarter, announces buy back']"
315,354,315_emissions_scandal_vw_volkswagen,"['emissions', 'scandal', 'vw', 'volkswagen', 'carbon', 'libor', 'porsche', 'olympus', 'hacking', 'co2']","['volkswagen reports upbeat earnings despite emissions scandal', 'two more vw executives said to be departing amid emissions scandal', 'vw emissions scandal: how it unfolded']"
316,350,316_bull_bear_day_highlighted,"['bull', 'bear', 'day', 'highlighted', 'capital day', 'motor', 'motors', 'bear market', 'general motors', 'toyota']","['zacks bull and bear of the day highlights: sabesp, westamerica bancorp, sprint nextel, verzion communications and at&t;', 'zacks bull and bear of the day highlights: vistaprint, fastenal, sprint nextel, verzion communications and at&t;', 'affymetrix, zais financialand capstead mortgage highlighted as zacks bull and bear of the day']"
317,346,317_india_coal_iran_fuel,"['india', 'coal', 'iran', 'fuel', 'gas', 'ongc', 'blocks', 'oil', 'diesel', 'ministry']","['india revokes coal price increase', 'india oil markets, 2013', 'coal washeries in india: a $5 billion opprtunity']"
318,346,318_marketsstocks_global marketsstocks_global marketsdollar_marketsdollar,"['marketsstocks', 'global marketsstocks', 'global marketsdollar', 'marketsdollar', 'global marketsus', 'marketsus', 'fed minutes', 'dollar', 'minutes', 'global marketsshares']","['wall street flat after fed minutes, but bernanke lifts futures', 'global markets-u.s. markets jump, dollar falls on fed minutes', 'global markets-dollar, treasuries fall after fed minutes']"
319,346,319_chile_peru_central bank_central,"['chile', 'peru', 'central bank', 'central', 'banco santander', 'rate unchanged', 'colombia', 'santander', 'bank keeps', 'rate']","['chile oil markets, 2011', 'chile oil markets, 2012', 'chile oil markets, 2013']"
320,345,320_mellon_bny_bny mellon_appointed,"['mellon', 'bny', 'bny mellon', 'appointed', 'carnegie', 'depositary', 'agent', 'bank new', 'servicing', 'trustee']","['bny mellon on the prowl for wealth advisers', 'bny mellon to cut about 1,500 jobs', 'bny mellon ousts chief']"
321,342,321_chesapeake_marathon_capital spending_encana,"['chesapeake', 'marathon', 'capital spending', 'encana', 'hess', 'devon', 'spending', 'loss', 'talisman', 'energy']","['chesapeake sells acreage to southwestern energy', 'text-s&p; ratings - chesapeake energy corp.', 'chesapeake to keep fts stake']"
322,341,322_stress_tests_stress tests_stress test,"['stress', 'tests', 'stress tests', 'stress test', 'test', 'scenario', 'exceeds', 'minimum', 'fed', 'level']","['for fed stress tests, u.s. banks form a study group', 'eu stress tests had glitches', 'what are the fed stress tests']"
323,341,323_proposes_dividend_fy_pay,"['proposes', 'dividend', 'fy', 'pay', '2015', 'payment', 'propose', 'date', 'shr', 'proposes new']","['brief-grivalia proposes dividend of 0.305 euro per share for fy 2015', 'brief-turk tuborg proposes no fy 2015 dividend', 'brief-seker finansal kiralama proposes not to pay dividend for fy 2015']"
324,339,324_argentina_argentine_ypf_peso,"['argentina', 'argentine', 'ypf', 'peso', 'repsol', 'default', 'debt', 'reserves', 'court', 'bonds']","['argentina to negotiate with holdout investors for first time', 'neos geosolutions announces neobasin program in argentina', 'argentina legalizes gay marriage']"
325,337,325_edf_nuclear_consortium_areva,"['edf', 'nuclear', 'consortium', 'areva', 'edison', 'asset sales', 'enel', 'green', 'macquarie', 'reactor']","['edf says cannot give timing for uk nuclear investment decision', 'edf sells uk power grids for $8.6 billion: sources', 'edf energy to close three nuclear reactors']"
326,335,326_india_tracker_market india_directory,"['india', 'tracker', 'market india', 'directory', 'q2 2012', 'india 2014', 'information technology', 'indian', 'industry india', 'internet']","['microwave oven market in india 2013', 'telemedicine market in india 2012', 'india projector market annual tracker report']"
327,328,327_tyson_beef_death_flu,"['tyson', 'beef', 'death', 'flu', 'chicken', 'foods', 'pork', 'meat', 'outbreak', 'cattle']","['beef prices balloon as herd thins', 'in a beef over branding', 'tyson foods profit rises']"
328,326,328_summary_retention_firm_textsp,"['summary', 'retention', 'firm', 'textsp', 'bmo', 'posted', 'exchange traded', 'traded', 'llc', 'distributions']","['firm retention summary: vertellus specialties inc.', 'firm retention summary: suniva inc.', 'firm retention summary: suniva inc.']"
329,325,329_ing_woori_stake_underlying,"['ing', 'woori', 'stake', 'underlying', 'direct', 'kb', 'investment management', 'sell', 'life', 'insurance']","['ing group: ing announces board changes in banking and insurance', 'fed scrutinizes capital one-ing deal', 'ing u.s. announces plans to rebrand as voya financial']"
330,324,330_intervention_japan_yen_g7,"['intervention', 'japan', 'yen', 'g7', 'fx', 'finmin', 'forex', 'comment', 'moves', 'watching']","['japan mof tamaki: no comment on fx intervention-jiji', 'japan mof official: fx intervention not finished', 'global markets-yen drops, nikkei up on japan fx intervention']"
331,320,331_poland_polish_cee_czech,"['poland', 'polish', 'cee', 'czech', 'central', 'central bank', 'rate cuts', 'slovak', 'leaves', 'leaves rates']","['poland central bank leaves interest rates unchanged', 'poland needs an independent central bank', 'cee markets 2-hungarian, polish bonds hold ground after strong debt sales']"
332,319,332_storm_sandy_disaster_catastrophe,"['storm', 'sandy', 'disaster', 'catastrophe', 'allstate', 'forecasting', 'hurricane', 'weather', 'storms', 'insurers']","['stylish and storm-resistant in the south', 'at aer lingus, flying through storm', 'after sandy, storm-proofing condos is no luxury']"
333,318,333_rally_stock rally_stocks_stocks slip,"['rally', 'stock rally', 'stocks', 'stocks slip', 'stocks retreat', 'retreat', 'correction', 'slip', 'bears', 'crash']","['inside the news: bank stock rally to run further -muller', 'chinese netizens rally against bo xilai or do they', 'investors hold their breath after record stock rally']"
334,317,334_metal_redemption_etfs_mac,"['metal', 'redemption', 'etfs', 'mac', 'calendar', 'mae', 'freddie', 'fannie', 'sec', 'net asset']","['reg - etfs metal sec - redemption of etfs metal securities limited', 'reg - etfs metal sec - redemption of etfs metal securities ltd', 'reg - etfs metal sec - redemption of etfs metal securities']"
335,317,335_wind_solar_deep_power,"['wind', 'solar', 'deep', 'power', 'global china', 'tariffs', 'turbine', 'energy market', 'panels', 'outlook 2025']","['verastem to wind down mesothelioma study', 'china wind sector analysis', 'leaning against the wind']"
336,315,336_stocks edge_stocks_stocks rally_stocks rise,"['stocks edge', 'stocks', 'stocks rally', 'stocks rise', 'rally', 'edge', 'stocks fall', 'edge higher', 'higher stocks', 'rally stocks']","['u.s. stocks edge higher', 'u.s. stocks edge higher', 'u.s. stocks edge higher']"
337,315,337_fiat_chrysler_cnh_merger,"['fiat', 'chrysler', 'cnh', 'merger', 'recall', 'uaw', 'ipo', 'italy', 'ceo', 'cars']","['fiat says no to chrysler ipo in 2013', 'supplying the fiat chrysler group 2014', 'fiat chrysler unwraps new euro-jeep']"
338,314,338_hsbc_overseas_private bank_unit,"['hsbc', 'overseas', 'private bank', 'unit', 'regulatory', 'holdings', 'announcement', 'laundering', 'sells', 'ping']","['ceo says hsbc is determined to change', 'clara furse named hsbc uk chairwoman', 'reg - hsbc holdings plc - hsbc overseas regulatory announcement']"
339,313,339_bofa_merrill_sky_end higher,"['bofa', 'merrill', 'sky', 'end higher', 'ri', '85 ept', '85', 'ept', 'merrill lynch', 'lynch']","['reg - bofa merrill lynchinvestec plcevolution group plc - form 8.5 ept ri', 'reg - bofa merrill lynchinvestec plc - form 8.5 ept ri', 'reg - bofa merrill lynchinvestec plc - form 8.5 ept ri']"
340,311,340_sap_oracle_cloud_software,"['sap', 'oracle', 'cloud', 'software', 'fujitsu', 'suite', 'services', 'accenture', 'ibm', 'solution']","['economic reports sap stocks', 'analysis: sap new cloud czar to take on salesforce, oracle', 'sap profit ascends on cloud growth']"
341,310,341_insider_volumes_critical_trading volumes,"['insider', 'volumes', 'critical', 'trading volumes', 'alerts', 'trade', 'itg', 'releases', 'trading', 'trades']","['euronext announces trading volumes for july', 'currency-trading volumes jump', 'e trade trading volumes rise']"
342,309,342_cocacola_pepsico_dr_soda,"['cocacola', 'pepsico', 'dr', 'soda', 'enterprises', 'beverage', 'drinks', 'profit', 'invest', 'profit rises']","['pepsico india health push', 'pepsico launches usd2bn two-part bond', 'pepsico, coke to update investors']"
343,307,343_glencore_sell stake_returns profit_cut debt,"['glencore', 'sell stake', 'returns profit', 'cut debt', 'sell', 'deal', 'returns', 'mines', 'stake', 'bid']","['glencore reports narrower loss, cuts debt', 'glencore prices ipo', 'glencore to buy viterra']"
344,305,344_euro dollar_yen_vs_dollar,"['euro dollar', 'yen', 'vs', 'dollar', 'dollar rises', 'vs euro', 'vs yen', 'euro', 'data dollar', 'dollar falls']","['dollar rises vs euro after us housing, prices data', 'dollar falls vs euro, up vs yen after fed move', 'dollar rises vs. euro, yen']"
345,301,345_vs yen_vs_yen_dollar hits,"['vs yen', 'vs', 'yen', 'dollar hits', 'low vs', 'dollar', 'hits', 'low', 'dollar falls', 'high']","['euro at 5-week low vs yen after finmins meeting', 'euro edges up, dollar hits 3-week high vs yen', 'dollar hits 17-month low vs yen on investor skittishness']"
346,300,346_rico_utility_restructure_authority,"['rico', 'utility', 'restructure', 'authority', 'debt', 'bond sale', 'governor', 'bondholders', 'sue', 'development bank']","['is the u.s. treasury bailing out puerto rico', 'puerto rico buys time for utility', 'for sale: puerto rico']"
347,299,347_vietnam_midday_index_pct,"['vietnam', 'midday', 'index', 'pct', 'economic times', 'bad debt', 'bad', '03 pct', 'closes', '06 pct']","['vietnam index ends up 0.1 pct on u.s. deal, earnings', 'the ivd market in vietnam: 2015 report', 'vietnam devalues dong']"
348,298,348_halt_resume_metals_minerals,"['halt', 'resume', 'metals', 'minerals', 'gold', 'resources', 'talks', 'trading', 'mining', 'ventures']","['iiroc: halt, stans energy corp.', 'iiroc: halt, strata-x energy ltd.', 'iiroc: halt, invictus financial inc.']"
349,294,349_lme_andy_aluminum_warehouse,"['lme', 'andy', 'aluminum', 'warehouse', 'cme', 'cme group', 'home', 'metals', 'bidding', 'london']","['lme sale down to two as cme eliminated', 'cme to challenge lme with aluminum-futures contract', 'cme to take on lme in aluminum']"
350,294,350_eyeing_awaits_weak dollar_crude,"['eyeing', 'awaits', 'weak dollar', 'crude', 'equities', 'dollar', 'dips', 'weak', 'choppy', 'slips']","['nymex-crude up as equities rise, awaits data', 'nymex-u.s. crude seesaws near flat eyeing economy', 'nymex-crude down ahead of inentory data, eyeing eu']"
351,292,351_preferred_perpetual_stock_series,"['preferred', 'perpetual', 'stock', 'series', 'redemption', 'offering', 'dividends', 'convertible', 'trust', 'closedend']","['dynex capital, inc. announces public offering of series b cumulative redeemable preferred stock', 'global geophysical services, inc. declares series a preferred dividend', 'bnccorp, inc. announces redemption of series a preferred stock']"
352,292,352_james_saft_raymond james_raymond,"['james', 'saft', 'raymond james', 'raymond', 'institutional investors', 'institutional', 'playing', 'wealth', 'conference', 'investors']","['saft on wealth-wall st research: garbage in garbage out: james saft', 'wealth rises but economy still sputters: james saft', 'by worshipping markets, we ve crippled them: james saft']"
353,291,353_forest_valeant_bid_takeover bid,"['forest', 'valeant', 'bid', 'takeover bid', 'takeover', 'billion deal', 'teva', 'holders', 'deal', 'ackman']","['actavis to buy forest labs', 'forest labs to buy aptalis', 'allergan: valeant bid being evaluated']"
354,290,354_increase_share capital_capital_registered,"['increase', 'share capital', 'capital', 'registered', 'new shares', 'share', 'energy corporation', 'resolves', 'ratio', 'idex']","['capital increase', 'brief-nanorepro announces capital increase', 'capital increase']"
355,290,355_textsp_revises_rating_ratings,"['textsp', 'revises', 'rating', 'ratings', 'sp', 'unaffected', 'stable', 'negative', 'outlook', 'outlook stable']","['text-s&p; revises outlook on gala to stable;affirms b rating', 'text-s&p; revises rompetrol outlook to stable, affirms b rating', 'text-s&p; revises medco outlook to stable; affirms b rating']"
356,289,356_flow_leaders_money_spy,"['flow', 'leaders', 'money', 'spy', 'ishares', 'russell', '2000', 'trust', 'msci', 'vanguard']","['news corp. cl b, spdr trust: money flow leaders nws, spy', 'watsco, spdr trust: money flow leaders wso, spy', 'spdr trust, petroleo brasileiro: money flow leaders spy, pbr']"
357,286,357_eaton_municipal bond_bond fund_municipal,"['eaton', 'municipal bond', 'bond fund', 'municipal', 'income fund', '81', 'fund ii', 'income', 'diversified', 'fund']","['reg - goldman sachs & co.eaton corp - form 8.1 - eaton corporation', 'eaton vance california municipal bond fund ii, eaton vance massachusetts municipal bond fund, eaton vance michigan municipal bond fund, eaton vance municipal bond fund ii, eaton vance new jersey municipal bond fund, eaton va', 'eaton vance management announces portfolio manager changes for eaton vance municipal income term trust, eaton vance national municipal opportunities trust, eaton vance california municipal bond fund, eaton vance california m']"
358,286,358_monsanto_bayer_seed_deal,"['monsanto', 'bayer', 'seed', 'deal', 'clears', 'seeds', 'ag', 'basf', 'eu clears', 'bid']","['bayer details financing plan for monsanto deal', 'brief-monsanto seeks up to $7 bln more from bayer in takeover-handelsblatt', 'monsanto in talks with bayer, others about strategic options']"
359,280,359_mf_mf global_trustee_global,"['mf', 'mf global', 'trustee', 'global', 'customers', 'collapse', 'cme', 'missing', 'judge', 'pwc']","['mf global repayments near', 'corzine clueless on mf global money', 'at mf global']"
360,278,360_oil futures_low oil_futures_oil,"['oil futures', 'low oil', 'futures', 'oil', 'futures fall', 'oil prices', 'crude', 'low', 'prices hit', 'crudeoil']","['oil futures fall', 'oil futures fall', 'oil futures fall']"
361,272,361_head_hires_deutsche_deutsche bank,"['head', 'hires', 'deutsche', 'deutsche bank', 'bank hires', 'suisse', 'credit suisse', 'leave', 'barclays', 'banker']","['credit suisse hires barclays banker', 'moves-deutsche bank hires thomas piquemal to head global m&a;', 'deutsche bank hires bryan north-clauss as head of us rates sales']"
362,271,362_paribas_bnp_bnp paribas_abs,"['paribas', 'bnp', 'bnp paribas', 'abs', 'net asset', 'asset value', 'value', 'asset', 'high', 'uk']","['modification of the liquidity contract between gemalto and exane bnp paribas', 'bnp paribas cfo on first-quarter results', 'bnp paribas profit falls']"
363,270,363_pmi_factory_pmis_hsbc,"['pmi', 'factory', 'pmis', 'hsbc', 'manufacturing', 'flash', 'official', 'activity', 'philip morris', 'markit']","['u.k. services pmi jumps', 'u.k. services pmi rises', 'markets digest china pmi, tankan']"
364,261,364_bills_4week_sell_treasury,"['bills', '4week', 'sell', 'treasury', 'bln', 'sell bln', '40', 'week', '1month', '3month']","['u.s. treasury to sell $31 bln in bills', 'treasury to sell four-week bills', 'treasury to sell bills']"
365,259,365_imports_curbs_india_gold,"['imports', 'curbs', 'india', 'gold', 'jewelry', 'import', 'demand', 'tax', 'pier', 'exports']","['india gold imports jump', 'india gold imports fall 20%', 'india gold imports to rise']"
366,257,366_kkr_holdings llc_stake_buys,"['kkr', 'holdings llc', 'stake', 'buys', 'buy', 'llc', 'invests', 'makes', 'buys stake', 'dairy']","['kkr partners with fleur de lis energy', 'kkr to acquire kkr financial', 'genesiscare announces investment by kkr']"
367,252,367_central bank_rba_australia_rates,"['central bank', 'rba', 'australia', 'rates', 'central', 'new zealand', 'keeps rates', 'zealand', 'holds rates', 'keeps']","['new zealand central bank holds rates as expected', 'new zealand central bank holds rates as expected', 'new zealand central bank keeps rates steady']"
368,252,368_gazprom_rosneft_russia_russian,"['gazprom', 'rosneft', 'russia', 'russian', 'gas', 'bp', 'deal', 'oil', 'gas market', 'antitrust']","['russia won t boost gazprom capital', 'lithuania negotiates lower gazprom gas price', 'russia denounces gazprom probe']"
369,247,369_potash_bhp_bid_fertilizer,"['potash', 'bhp', 'bid', 'fertilizer', 'bhp billiton', 'billiton', 'cartel', 'canada', 'mosaic', 'chemicals']","['k s ceo says potash prices have bottomed out -report', 'a belarus wildcard is shaking up the market for potash', 'humble potash gleams']"
370,243,370_siemens_ge_dominating_abb,"['siemens', 'ge', 'dominating', 'abb', 'cad', 'automation', 'market 20142018', 'autodesk', 'unit', '20142018']","['siemens profit up as charges fall', 'siemens returns to growth', 'siemens swings back to growth']"
371,236,371_se_se asia_asia_indonesia,"['se', 'se asia', 'asia', 'indonesia', 'asia stocks', 'malaysia', 'philippines', 'outperforms', 'record high', 'philippine']","['se asia stocks-most up; malaysia at all time high', 'se asia stocks-down; indonesia, philippines lead', 'se asia stocks-energy and banks in demand']"
372,231,372_carlyle_stake_group_ipo,"['carlyle', 'stake', 'group', 'ipo', 'clo', 'commscope', 'founders', 'buy', 'private equity', 'fund']","['carlyle manorcare and hcp in $6 billion asset deal', 'hcp and carlyle manorcare in $6 billion asset deal', 'carlyle rubenstein says canada beckons investment']"
373,228,373_stocks bonds_swaps_rupee_bonds,"['stocks bonds', 'swaps', 'rupee', 'bonds', 'stocks', 'ny fed', 'swap', 'ny', 'foreign', 'total']","['snapshot-india stocks, bonds, rupee, swaps, call at 0510gmt', 'snapshot-india stocks, bonds, rupee, swaps, call at 0415 gmt', 'snapshot-india stocks, bonds, rupee, swaps, call at 0737 gmt']"
374,228,374_alcoa_conocophillips_transocean_occidental,"['alcoa', 'conocophillips', 'transocean', 'occidental', 'ongc', 'aluminum', 'loss', 'conoco', 'petroleum', 'swings']","['alcoa to close smelter in brazil', 'alcoa heir arconic in $1 billion supply deal with airbus', 'alcoa reports loss']"
375,223,375_delisting_lazard_temporary_announcement,"['delisting', 'lazard', 'temporary', 'announcement', 'cancellation', 'fund', 'notice', 'delist', 'transatlantic', 'goldman sachs']","['reg - lazard rathmore fund - delisting of shares', 'reg - lazard rathmore fund - temporary delisting of shares', 'reg - lazard rathmore fund - temporary delisting of shares']"
376,223,376_open higher_open_higher_canada,"['open higher', 'open', 'higher', 'canada', 'opens', 'set open', 'higher fed', 'set', 'commodities', 'higher china']","['canada stocks-tsx may open higher on europe hopes', 'canada stocks-tsx set to open higher as commodities rise', 'canada stocks-tsx set to open higher']"
377,218,377_bhp_billiton_bhp billiton_ore,"['bhp', 'billiton', 'bhp billiton', 'ore', 'iron', 'iron ore', 'australia', 'australian', 'coal', 'mining']","['reg - bhp billiton plc - risk and audit committee change at bhp billiton', 'text: s&p; rates bhp billiton finance ltd. euro2 billion issue a', 'bhp plans more sales']"
378,203,378_ept_amendment_85_ri,"['ept', 'amendment', '85', 'ri', '85 ept', 'sachs', 'goldman sachs', 'goldman', 'factors watch', 'factors']","['reg - goldman sachs ept autonomy corp plc - form 8.5 ept ri - amendment', 'reg - goldman sachs ept wellstream hldgs plc - form 8.5 ept ri - amendment', 'reg - goldman sachs ept xstrata plc - form 8.5 ept ri - amendment']"
379,202,379_affirms_rating_fitch_textfitch,"['affirms', 'rating', 'fitch', 'textfitch', 'fitch affirms', 'stable', 'outlook stable', 'textfitch affirms', 'updatemoody', 'commercial bank']","['text-fitch affirms cpc corporation,taiwan at a ;outlook stable', 'fitch affirms cpc corporation, taiwan at a ; outlook stable', 'fitch affirms taiwan hua nan bank at bbb ; outlook stable']"
380,200,380_baker_hughes_howard_antitrust,"['baker', 'hughes', 'howard', 'antitrust', 'weatherford', 'drilling', 'film', 'deepwater', 'loss', 'posts loss']","['earnings insight and review - baker hughes', 'halliburton, baker hughes to sell more businesses', 'halliburton-baker hughes courtship was tense at times']"
381,194,381_valeant_pershing square_pershing_ackman,"['valeant', 'pershing square', 'pershing', 'ackman', 'square', 'pearson', 'ceo', 'pharmaceuticals', 'default', 'maker']","['valeant names valueact ubben to board', 'valeant cuts forecasts again', 'valeant stock whacked on outlook']"
382,184,382_66_phillips_philips_navistar,"['66', 'phillips', 'philips', 'navistar', 'thirdquarter results', 'firstquarter earnings', 'thirdquarter', 'loss', 'rupees', 'firstquarter']","['phillips 66 partners reports third-quarter earnings', 'phillips 66 partners reports first-quarter earnings', 'phillips 66 profit falls']"
383,178,383_metlife_systemically important_systemically_important,"['metlife', 'systemically important', 'systemically', 'important', 'label', 'buybacks', 'prudential', 'aig', 'tracy', 'hearing']","['metlife dividend jumps', 'metlife to buy back up to $1 billion shares', 'metlife aiming for predictability in earnings-ceo']"
384,176,384_starbucks_coffee_brands_green mountain,"['starbucks', 'coffee', 'brands', 'green mountain', 'store', 'mountain', 'shops', 'sales growth', 'serve', 'workers']","['coupons boost starbucks', 'starbucks raises prices by about 1%', 'why starbucks has bulked up its menu']"
385,174,385_open lower_lower_open_canada,"['open lower', 'lower', 'open', 'canada', 'set open', 'opens', 'commodity prices', 'lower weak', 'set', 'lower fed']","['canada stocks-tsx may open lower, banks in focus', 'canada stocks-tsx may open lower on resources', 'canada stocks-tsx set to open lower']"
386,171,386_commerzbank_eba_14 bln_swings profit,"['commerzbank', 'eba', '14 bln', 'swings profit', 'profit', 'aid', 'sources', 'swings', 'detroit', 'hike']","['reg - commerzbank capital - determination of interest', 'reg - commerzbank capital - determination of interest', 'reg - commerzbank capital - determination of interest']"
387,158,387_mexico_higher sales_loss narrows_loss,"['mexico', 'higher sales', 'loss narrows', 'loss', 'narrows', 'cement', 'debt', 'transactions', 'pemex', 'holcim']","['bellatrix exploration loss narrows on higher sales volumes', 'cemex loss narrows on higher sales', 'higher sales help mexico cemex to narrower second-quarter loss']"
388,151,388_textsp_rates_rated_proposed,"['textsp', 'rates', 'rated', 'proposed', 'bbb', 'notes', 'unsecured', 'bonds', 'bb', 'senior unsecured']","['text-s&p; rates gerdau ameristeel us proposed bonds bbb-', 'text-s&p; rates idbi bank ltd. proposed notes bbb-', 'text-s&p; rates qwest proposed notes bbb-']"
389,139,389_rio_mongolia_ore_iron ore,"['rio', 'mongolia', 'ore', 'iron ore', 'iron', 'coal', 'copper', 'fiscal regime', 'mining', 'regime']","['rio tinto raises bid for hathor', 'reg - rio tinto - rio tinto to invest us$170m in simandou iron ore', 'rio tinto not retreating under incoming ceo']"
